title	type	alias	null1	categories	null2	related	null3	links	disambiguation	image	abstract	sourceurl
How do I decode a MIME/BASE64 string?	A			Perl FAQs\nPerl Web, Email and Networking							<section class="prog__container"><p>The <span href="http://perldoc.perl.org/MIME/Base64.html">MIME::Base64</span> package handles this as well as the MIME/QP encoding. Decoding base 64 becomes as simple as:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">MIME::Base64</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$decoded</span> = <span class="i">decode_base64</span><span class="s">(</span><span class="i">$encoded</span><span class="s">)</span><span class="sc">;</span></li></ol></pre><p>The <span href="http://search.cpan.org/perldoc/Email::MIME">Email::MIME</span> module can decode base 64-encoded email message parts transparently so the developer doesn&#39;t need to worry about it.</p></section>	http://perldoc.perl.org/perlfaq9.html#How-do-I-decode-a-MIME%2fBASE64-string%3f
syntax (definition)	A			Perl Glossary							<section class="prog__container"><p>From Greek σύνταξις, “with-arrangement”. How things (particularly symbols) are put together with each other.</p></section>	http://perldoc.perl.org/perlglossary.html#syntax
sysopen (function)	A			Perl Functions\nPerl Functions for filehandles, files, or directories							<section class="prog__container"><pre>sysopen FILEHANDLE,FILENAME,MODE<br>sysopen FILEHANDLE,FILENAME,MODE,PERMS</pre><p>Opens the file whose filename is given by FILENAME, and associates it with FILEHANDLE.  If FILEHANDLE is an expression, its value is used as the real filehandle wanted; an undefined scalar will be suitably autovivified.  This function calls the underlying operating system&#39;s <i>open</i>(2) function with the parameters FILENAME, MODE, and PERMS.</p><p>The possible values and flag bits of the MODE parameter are system-dependent; they are available via the standard module <code class="inline"><span class="w">Fcntl</span></code> .  See the documentation of your operating system&#39;s <i>open</i>(2) syscall to see which values and flag bits are available.  You may combine several flags using the <code class="inline">|</code>-operator.</p><p>Some of the most common values are <code class="inline"><span class="w">O_RDONLY</span></code>  for opening the file in read-only mode, <code class="inline"><span class="w">O_WRONLY</span></code>  for opening the file in write-only mode, and <code class="inline"><span class="w">O_RDWR</span></code>  for opening the file in read-write mode.   </p><p>For historical reasons, some values work on almost every system supported by Perl: 0 means read-only, 1 means write-only, and 2 means read/write.  We know that these values do <i>not</i> work under OS/390 and on the Macintosh; you probably don&#39;t want to use them in new code.</p><p>If the file named by FILENAME does not exist and the <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/open.html">open</span></code> call creates it (typically because MODE includes the <code class="inline"><span class="w">O_CREAT</span></code>  flag), then the value of PERMS specifies the permissions of the newly created file.  If you omit the PERMS argument to <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/sysopen.html">sysopen</span></code>, Perl uses the octal value <code class="inline"><span class="n">0666</span></code> . These permission values need to be in octal, and are modified by your process&#39;s current <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/umask.html">umask</span></code>. </p><p>In many systems the <code class="inline"><span class="w">O_EXCL</span></code>  flag is available for opening files in exclusive mode.  This is <b>not</b> locking: exclusiveness means here that if the file already exists, sysopen() fails.  <code class="inline"><span class="w">O_EXCL</span></code>  may not work on network filesystems, and has no effect unless the <code class="inline"><span class="w">O_CREAT</span></code>  flag is set as well.  Setting <code class="inline"><span class="w">O_CREAT</span>|<span class="w">O_EXCL</span></code>  prevents the file from being opened if it is a symbolic link.  It does not protect against symbolic links in the file&#39;s path. </p><p>Sometimes you may want to truncate an already-existing file.  This can be done using the <code class="inline"><span class="w">O_TRUNC</span></code>  flag.  The behavior of <code class="inline"><span class="w">O_TRUNC</span></code>  with <code class="inline"><span class="w">O_RDONLY</span></code>  is undefined. </p><p>You should seldom if ever use <code class="inline"><span class="n">0644</span></code>  as argument to <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/sysopen.html">sysopen</span></code>, because that takes away the user&#39;s option to have a more permissive umask. Better to omit it.  See the perlfunc(1) entry on <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/umask.html">umask</span></code> for more on this.</p><p>Note that <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/sysopen.html">sysopen</span></code> depends on the fdopen() C library function. On many Unix systems, fdopen() is known to fail when file descriptors exceed a certain value, typically 255.  If you need more file descriptors than that, consider using the POSIX::open() function.</p><p>See <span href="http://perldoc.perl.org/perlopentut.html">perlopentut</span> for a kinder, gentler explanation of opening files.</p><p>Portability issues: <span href="http://perldoc.perl.org/perlport.html#sysopen">sysopen in perlport</span>.</p></section>	http://perldoc.perl.org/functions/sysopen.html
ExtUtils::MakeMaker::FAQ (module)	A			Perl Standard Modules		[[ExtUtils::MakeMaker]]					<section class="prog__container"><p>ExtUtils::MakeMaker::FAQ - Frequently Asked Questions About MakeMaker</p> </section>	http://perldoc.perl.org/ExtUtils/MakeMaker/FAQ.html
Perl folding rules are not up-to-date for 0x%X; please use the perlbug utility to report; in regex; marked by <-- HERE in m/%s/	A			Perl Diagnostics							<section class="prog__container"><p>(S regexp) You used a regular expression with case-insensitive matching, and there is a bug in Perl in which the built-in regular expression folding rules are not accurate.  This may lead to incorrect results. Please report this as a bug using the <span href="http://perldoc.perl.org/perlbug.html">perlbug</span> utility.</p></section>	http://perldoc.perl.org/perldiag.html#Perl-folding-rules-are-not-up-to-date-for-0x%25X%3b-please-use-the-perlbug-utility-to-report%3b-in-regex%3b-marked-by-%3c---HERE-in-m%2f%25s%2f
Unary "+" operator	A			Perl Operators\nPerl Symbolic Unary Operators							<section class="prog__container">Unary &quot;+&quot; has no effect whatsoever, even on strings. It is useful syntactically for separating a function name from a parenthesized expression that would otherwise be interpreted as the complete list of function arguments. (See examples above under Terms and List Operators (Leftward).)</section>	http://perldoc.perl.org/perlop.html#Symbolic-Unary-Operators
false (definition)	A			Perl Glossary							<section class="prog__container"><p>In Perl, any value that would look like <code class="inline"><span class="q">&quot;&quot;</span></code>  or <code class="inline"><span class="q">&quot;0&quot;</span></code>  if evaluated in a string context. Since undefined values evaluate to <code class="inline"><span class="q">&quot;&quot;</span></code> , all undefined values are false, but not all false values are undefined.</p></section>	http://perldoc.perl.org/perlglossary.html#false
How do I dup() a filehandle in Perl?	A			Perl FAQs\nPerl Files and Formats							<section class="prog__container"><p>If you check <span href="http://perldoc.perl.org/functions/open.html">open</span>, you&#39;ll see that several of the ways to call open() should do the trick. For example:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/open.html">open</span> <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$log</span><span class="cm">,</span> <span class="q">&#39;&gt;&gt;&#39;</span><span class="cm">,</span> <span class="q">&#39;/foo/logfile&#39;</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/open.html">open</span> <span class="w">STDERR</span><span class="cm">,</span> <span class="q">&#39;&gt;&amp;&#39;</span><span class="cm">,</span> <span class="i">$log</span><span class="sc">;</span></li></ol></pre><p>Or even with a literal numeric descriptor:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$fd</span> = <span class="i">$ENV</span>{<span class="w">MHCONTEXTFD</span>}<span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/open.html">open</span> <span class="i">$mhcontext</span><span class="cm">,</span> <span class="q">&quot;&lt;&amp;=$fd&quot;</span><span class="sc">;</span>  <span class="c"># like fdopen(3S)</span></li></ol></pre><p>Note that &quot;&lt;&amp;STDIN&quot; makes a copy, but &quot;&lt;&amp;=STDIN&quot; makes an alias. That means if you close an aliased handle, all aliases become inaccessible. This is not true with a copied one.</p><p>Error checking, as always, has been left as an exercise for the reader.</p></section>	http://perldoc.perl.org/perlfaq5.html#How-do-I-dup()-a-filehandle-in-Perl%3f
Exiting subroutine via %s	A			Perl Diagnostics							<section class="prog__container"><p>(W exiting) You are exiting a subroutine by unconventional means, such as a goto, or a loop control statement.</p></section>	http://perldoc.perl.org/perldiag.html#Exiting-subroutine-via-%25s
Simple Statements	A			Perl FAQs\nPerl perlsyn - Perl syntax							<section class="prog__container"><p>The only kind of simple statement is an expression evaluated for its side-effects.  Every simple statement must be terminated with a semicolon, unless it is the final statement in a block, in which case the semicolon is optional.  But put the semicolon in anyway if the block takes up more than one line, because you may eventually add another line.  Note that there are operators like <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/eval.html">eval</span> <span class="s">{</span><span class="s">}</span></code> , <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/sub.html">sub</span> <span class="s">{</span><span class="s">}</span></code> , and <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/do.html">do</span> <span class="s">{</span><span class="s">}</span></code>  that <i>look</i> like compound statements, but aren&#39;t--they&#39;re just TERMs in an expression--and thus need an explicit termination when used as the last item in a statement.</p></section>	http://perldoc.perl.org/perlsyn.html#Simple-Statements
do_study: out of memory	A			Perl Diagnostics							<section class="prog__container"><p>(P) This should have been caught by safemalloc() instead.</p></section>	http://perldoc.perl.org/perldiag.html#do_study%3a-out-of-memory
Unrecognized escape \%c passed through	A			Perl Diagnostics							<section class="prog__container"><p>(W misc) You used a backslash-character combination which is not recognized by Perl.  The character was understood literally, but this may change in a future version of Perl.</p></section>	http://perldoc.perl.org/perldiag.html#Unrecognized-escape-%5c%25c-passed-through
AutoLoader (module)	A			Perl Standard Modules		[[SelfLoader]]					<section class="prog__container"><p>AutoLoader - load subroutines only on demand</p> <pre class="verbatim"><ol><li><span name="package-Foo"></span>    package <span class="i">Foo</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">AutoLoader</span> <span class="q">&#39;AUTOLOAD&#39;</span><span class="sc">;</span>   <span class="c"># import the default AUTOLOAD subroutine</span></li><li></li><li><span name="package-Bar"></span>    package <span class="i">Bar</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">AutoLoader</span><span class="sc">;</span>              <span class="c"># don&#39;t import AUTOLOAD, define our own</span></li><li><span name="AUTOLOAD"></span>    sub <span class="m">AUTOLOAD</span> <span class="s">{</span></li><li>        ...</li><li>        <span class="i">$AutoLoader::AUTOLOAD</span> = <span class="q">&quot;...&quot;</span><span class="sc">;</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/goto.html">goto</span> <span class="i">&amp;AutoLoader::AUTOLOAD</span><span class="sc">;</span></li><li>    <span class="s">}</span></li></ol></pre></section>	http://perldoc.perl.org/AutoLoader.html
monger (definition)	A			Perl Glossary							<section class="prog__container"><p>Short for one member of <b>Perl mongers</b>, a purveyor of Perl.</p></section>	http://perldoc.perl.org/perlglossary.html#monger
Malformed integer in [] in unpack	A			Perl Diagnostics							<section class="prog__container"><p>(F) Between the brackets enclosing a numeric repeat count only digits are permitted.  See <span href="http://perldoc.perl.org/functions/pack.html">pack</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Malformed-integer-in-%5b%5d-in-unpack
Name "%s::%s" used only once: possible typo	A			Perl Diagnostics							<section class="prog__container"><p>(W once) Typographical errors often show up as unique variable names.  If you had a good reason for having a unique name, then just mention it again somehow to suppress the message.  The <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/our.html">our</span></code> declaration is also provided for this purpose.</p><p>NOTE: This warning detects package symbols that have been used only once.  This means lexical variables will never trigger this warning.  It also means that all of the package variables $c, @c, %c, as well as *c, &amp;c, sub c{}, c(), and c (the filehandle or format) are considered the same; if a program uses $c only once but also uses any of the others it will not trigger this warning. Symbols beginning with an underscore and symbols using special identifiers (q.v. <span href="http://perldoc.perl.org/perldata.html">perldata</span>) are exempt from this warning.</p></section>	http://perldoc.perl.org/perldiag.html#Name-%22%25s%3a%3a%25s%22-used-only-once%3a-possible-typo
dbmopen (function)	A			Perl Functions\nPerl Input and output functions\nPerl Keywords related to classes and object-orientedness							<section class="prog__container"><pre>dbmopen HASH,DBNAME,MASK</pre><p>[This function has been largely superseded by the <span href="http://perldoc.perl.org/functions/dbmopen.html#tie-VARIABLE%2cCLASSNAME%2cLIST">tie</span> function.]</p><p>This binds a dbm(3), ndbm(3), sdbm(3), gdbm(3), or Berkeley DB file to a hash.  HASH is the name of the hash.  (Unlike normal <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/open.html">open</span></code>, the first argument is <i>not</i> a filehandle, even though it looks like one).  DBNAME is the name of the database (without the <i>.dir</i> or <i>.pag</i> extension if any).  If the database does not exist, it is created with protection specified by MASK (as modified by the <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/umask.html">umask</span></code>).  To prevent creation of the database if it doesn&#39;t exist, you may specify a MODE of 0, and the function will return a false value if it can&#39;t find an existing database.  If your system supports only the older DBM functions, you may make only one <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/dbmopen.html">dbmopen</span></code> call in your program.  In older versions of Perl, if your system had neither DBM nor ndbm, calling <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/dbmopen.html">dbmopen</span></code> produced a fatal error; it now falls back to sdbm(3).</p><p>If you don&#39;t have write access to the DBM file, you can only read hash variables, not set them.  If you want to test whether you can write, either use file tests or try setting a dummy hash entry inside an <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/eval.html">eval</span></code>  to trap the error.</p><p>Note that functions such as <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/keys.html">keys</span></code> and <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/values.html">values</span></code> may return huge lists when used on large DBM files.  You may prefer to use the <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/each.html">each</span></code> function to iterate over large DBM files.  Example:</p><pre class="verbatim"><ol><li>    <span class="c"># print out history file offsets</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/dbmopen.html">dbmopen</span><span class="s">(</span><span class="i">%HIST</span><span class="cm">,</span><span class="q">&#39;/usr/lib/news/history&#39;</span><span class="cm">,</span><span class="n">0666</span><span class="s">)</span><span class="sc">;</span></li><li>    while <span class="s">(</span><span class="s">(</span><span class="i">$key</span><span class="cm">,</span><span class="i">$val</span><span class="s">)</span> = <span class="l_k" href="http://perldoc.perl.org/functions/each.html">each</span> <span class="i">%HIST</span><span class="s">)</span> <span class="s">{</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="i">$key</span><span class="cm">,</span> <span class="q">&#39; = &#39;</span><span class="cm">,</span> <span class="l_k" href="http://perldoc.perl.org/functions/unpack.html">unpack</span><span class="s">(</span><span class="q">&#39;L&#39;</span><span class="cm">,</span><span class="i">$val</span><span class="s">)</span><span class="cm">,</span> <span class="q">&quot;\\n&quot;</span><span class="sc">;</span></li><li>    <span class="s">}</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/dbmclose.html">dbmclose</span><span class="s">(</span><span class="i">%HIST</span><span class="s">)</span><span class="sc">;</span></li></ol></pre><p>See also <span href="http://perldoc.perl.org/AnyDBM_File.html">AnyDBM_File</span> for a more general description of the pros and cons of the various dbm approaches, as well as <span href="http://perldoc.perl.org/DB_File.html">DB_File</span> for a particularly rich implementation.</p><p>You can control which DBM library you use by loading that library before you call dbmopen():</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">DB_File</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/dbmopen.html">dbmopen</span><span class="s">(</span><span class="i">%NS_Hist</span><span class="cm">,</span> <span class="q">&quot;$ENV{HOME}/.netscape/history.db&quot;</span><span class="s">)</span></li><li>        or <span class="l_k" href="http://perldoc.perl.org/functions/die.html">die</span> <span class="q">&quot;Can&#39;t open netscape history file: $!&quot;</span><span class="sc">;</span></li></ol></pre><p>Portability issues: <span href="http://perldoc.perl.org/perlport.html#dbmopen">dbmopen in perlport</span>.</p></section>	http://perldoc.perl.org/functions/dbmopen.html
Text::Balanced (module)	A			Perl Standard Modules							<section class="prog__container"><p>Text::Balanced - Extract delimited text sequences from strings.</p> <pre class="verbatim"><ol><li> <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Text::Balanced</span> <span class="q">qw (</span></li><li>&#09;&#09;&#09;<span class="q">extract_delimited</span></li><li>&#09;&#09;&#09;<span class="q">extract_bracketed</span></li><li>&#09;&#09;&#09;<span class="q">extract_quotelike</span></li><li>&#09;&#09;&#09;<span class="q">extract_codeblock</span></li><li>&#09;&#09;&#09;<span class="q">extract_variable</span></li><li>&#09;&#09;&#09;<span class="q">extract_tagged</span></li><li>&#09;&#09;&#09;<span class="q">extract_multiple</span></li><li>&#09;&#09;&#09;<span class="q">gen_delimited_pat</span></li><li>&#09;&#09;&#09;<span class="q">gen_extract_tagged</span></li><li>&#09;&#09;       <span class="q">)</span><span class="sc">;</span></li><li></li><li> <span class="c"># Extract the initial substring of $text that is delimited by</span></li><li> <span class="c"># two (unescaped) instances of the first character in $delim.</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> = <span class="i">extract_delimited</span><span class="s">(</span><span class="i">$text</span><span class="cm">,</span><span class="i">$delim</span><span class="s">)</span><span class="sc">;</span></li><li></li><li></li><li> <span class="c"># Extract the initial substring of $text that is bracketed</span></li><li> <span class="c"># with a delimiter(s) specified by $delim (where the string</span></li><li> <span class="c"># in $delim contains one or more of &#39;(){}[]&lt;&gt;&#39;).</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> = <span class="i">extract_bracketed</span><span class="s">(</span><span class="i">$text</span><span class="cm">,</span><span class="i">$delim</span><span class="s">)</span><span class="sc">;</span></li><li></li><li></li><li> <span class="c"># Extract the initial substring of $text that is bounded by</span></li><li> <span class="c"># an XML tag.</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> = <span class="i">extract_tagged</span><span class="s">(</span><span class="i">$text</span><span class="s">)</span><span class="sc">;</span></li><li></li><li></li><li> <span class="c"># Extract the initial substring of $text that is bounded by</span></li><li> <span class="c"># a C&lt;BEGIN&gt;...C&lt;END&gt; pair. Don&#39;t allow nested C&lt;BEGIN&gt; tags</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> =</li><li>&#09;&#09;<span class="i">extract_tagged</span><span class="s">(</span><span class="i">$text</span><span class="cm">,</span><span class="q">&quot;BEGIN&quot;</span><span class="cm">,</span><span class="q">&quot;END&quot;</span><span class="cm">,</span><span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span><span class="cm">,</span><span class="s">{</span><span class="w">bad</span><span class="cm">=&gt;</span><span class="s">[</span><span class="q">&quot;BEGIN&quot;</span><span class="s">]</span><span class="s">}</span><span class="s">)</span><span class="sc">;</span></li><li></li><li></li><li> <span class="c"># Extract the initial substring of $text that represents a</span></li><li> <span class="c"># Perl &quot;quote or quote-like operation&quot;</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> = <span class="i">extract_quotelike</span><span class="s">(</span><span class="i">$text</span><span class="s">)</span><span class="sc">;</span></li><li></li><li></li><li> <span class="c"># Extract the initial substring of $text that represents a block</span></li><li> <span class="c"># of Perl code, bracketed by any of character(s) specified by $delim</span></li><li> <span class="c"># (where the string $delim contains one or more of &#39;(){}[]&lt;&gt;&#39;).</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> = <span class="i">extract_codeblock</span><span class="s">(</span><span class="i">$text</span><span class="cm">,</span><span class="i">$delim</span><span class="s">)</span><span class="sc">;</span></li><li></li><li></li><li> <span class="c"># Extract the initial substrings of $text that would be extracted by</span></li><li> <span class="c"># one or more sequential applications of the specified functions</span></li><li> <span class="c"># or regular expressions</span></li><li></li><li>&#09;<span class="i">@extracted</span> = <span class="i">extract_multiple</span><span class="s">(</span><span class="i">$text</span><span class="cm">,</span></li><li>&#09;&#09;&#09;&#09;      <span class="s">[</span> \\<span class="i">&amp;extract_bracketed</span><span class="cm">,</span></li><li>&#09;&#09;&#09;&#09;&#09;\\<span class="i">&amp;extract_quotelike</span><span class="cm">,</span></li><li>&#09;&#09;&#09;&#09;&#09;\\<span class="i">&amp;some_other_extractor_sub</span><span class="cm">,</span></li><li>&#09;&#09;&#09;&#09;&#09;<span class="q">qr/[xyz]*/</span><span class="cm">,</span></li><li>&#09;&#09;&#09;&#09;&#09;<span class="q">&#39;literal&#39;</span><span class="cm">,</span></li><li>&#09;&#09;&#09;&#09;      <span class="s">]</span><span class="s">)</span><span class="sc">;</span></li></ol></pre><p># Create a string representing an optimized pattern (a la Friedl) # that matches a substring delimited by any of the specified characters # (in this case: any type of quote or a slash)</p><pre class="verbatim"><ol><li>&#09;<span class="i">$patstring</span> = <span class="i">gen_delimited_pat</span><span class="s">(</span><span class="q">q{&#39;&quot;`/}</span><span class="s">)</span><span class="sc">;</span></li></ol></pre><p># Generate a reference to an anonymous sub that is just like extract_tagged # but pre-compiled and optimized for a specific pair of tags, and consequently # much faster (i.e. 3 times faster). It uses qr// for better performance on # repeated calls, so it only works under Perl 5.005 or later.</p><pre class="verbatim"><ol><li>&#09;<span class="i">$extract_head</span> = <span class="i">gen_extract_tagged</span><span class="s">(</span><span class="q">&#39;&lt;HEAD&gt;&#39;</span><span class="cm">,</span><span class="q">&#39;&lt;/HEAD&gt;&#39;</span><span class="s">)</span><span class="sc">;</span></li><li></li><li>&#09;<span class="s">(</span><span class="i">$extracted</span><span class="cm">,</span> <span class="i">$remainder</span><span class="s">)</span> = <span class="i">$extract_head</span>-&gt;<span class="s">(</span><span class="i">$text</span><span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/Text/Balanced.html
