	R	jQuery()										
$.isXMLDoc	R	jQuery.isXMLDoc()										
$.isXMLDoc()	R	jQuery.isXMLDoc()										
$.makeArray	R	jQuery.makeArray()										
$.makeArray()	R	jQuery.makeArray()										
$.map	R	jQuery.map()										
$.map()	R	jQuery.map()										
$.merge	R	jQuery.merge()										
$.merge()	R	jQuery.merge()										
$.noConflict	R	jQuery.noConflict()										
$.noConflict()	R	jQuery.noConflict()										
$.noop	R	jQuery.noop()										
$.noop()	R	jQuery.noop()										
$.now	R	jQuery.now()										
$.now()	R	jQuery.now()										
$.param	R	jQuery.param()										
$.param()	R	jQuery.param()										
$.parseHTML	R	jQuery.parseHTML()										
$.parseHTML()	R	jQuery.parseHTML()										
$.parseJSON	R	jQuery.parseJSON()										
$.parseJSON()	R	jQuery.parseJSON()										
$.parseXML	R	jQuery.parseXML()										
$.parseXML()	R	jQuery.parseXML()										
$.post	R	jQuery.post()										
$.post()	R	jQuery.post()										
$.proxy	R	jQuery.proxy()										
$.proxy()	R	jQuery.proxy()										
$.queue	R	jQuery.queue()										
$.queue()	R	jQuery.queue()										
$.readyException	R	jQuery.readyException()										
$.readyException()	R	jQuery.readyException()										
$.removeData	R	jQuery.removeData()										
$.removeData()	R	jQuery.removeData()										
$.speed	R	jQuery.speed										
$.sub	R	jQuery.sub()										
$.sub()	R	jQuery.sub()										
$.support	R	jQuery.support										
$.trim	R	jQuery.trim()										
$.trim()	R	jQuery.trim()										
$.type	R	jQuery.type()										
$.type()	R	jQuery.type()										
$.unique	R	jQuery.unique()										
$.unique()	R	jQuery.unique()										
$.uniqueSort	R	jQuery.uniqueSort()										
$.uniqueSort()	R	jQuery.uniqueSort()										
$.when	R	jQuery.when()										
$.when()	R	jQuery.when()										
.Callbacks	R	jQuery.Callbacks()										
.Callbacks()	R	jQuery.Callbacks()										
.Deferred	R	jQuery.Deferred()										
.Deferred()	R	jQuery.Deferred()										
.add	R	.add()										
.add()	A			jQuery Traversing\njQuery Miscellaneous Traversal							<section class="prog__container"><p>Create a new jQuery object with elements added to the set of matched elements.</p><pre><code>$(selector).add(selector) → jQuery\n$(selector).add(elements) → jQuery\n$(selector).add(html) → jQuery\n$(selector).add(selection) → jQuery\n$(selector).add(selector,context) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string representing a selector expression to find additional elements to add to the set of matched elements.\nelements (Element) : One or more elements to add to the set of matched elements.\nhtml (htmlString) : An HTML fragment to add to the set of matched elements.\nselection (jQuery) : An existing jQuery object to add to the set of matched elements.\ncontext (Element) : The point in the document at which the selector should begin matching; similar to the context argument of the $(selector, context) method.</code></pre></section>	https://api.jquery.com/add/
.addBack	R	.addBack()										
.addBack()	A			jQuery Traversing\njQuery Miscellaneous Traversal							<section class="prog__container"><p>Add the previous set of elements on the stack to the current set, optionally filtered by a selector.</p><pre><code>$(selector).addBack(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match the current set of elements against.</code></pre></section>	https://api.jquery.com/addBack/
.addClass	R	.addClass()										
.addClass()	A			jQuery Attributes\njQuery Manipulation\njQuery Class Attribute\njQuery Css							<section class="prog__container"><p>Adds the specified class(es) to each element in the set of matched elements.</p><pre><code>$(selector).addClass(className) → jQuery\n$(selector).addClass(function) → jQuery</code></pre><p>Arguments</p><pre><code>className (String) : One or more space-separated classes to be added to the class attribute of each matched element.\nfunction (Function) : A function returning one or more space-separated class names to be added to the existing class name(s). Receives the index position of the element in the set and the existing class name(s) as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/addClass/
.after	R	.after()										
.after()	A			jQuery Manipulation\njQuery Dom Insertion Outside							<section class="prog__container"><p>Insert content, specified by the parameter, after each element in the set of matched elements.</p><pre><code>$(selector).after(content,content) → jQuery\n$(selector).after(function) → jQuery\n$(selector).after(function-html) → jQuery</code></pre><p>Arguments</p><pre><code>content (htmlString| Element| Text| Array| jQuery) : HTML string, DOM element, text node, array of elements and text nodes, or jQuery object to insert after each element in the set of matched elements.\ncontent (htmlString| Element| Text| Array| jQuery) : One or more additional DOM elements, text nodes, arrays of elements and text nodes, HTML strings, or jQuery objects to insert after each element in the set of matched elements.\nfunction (Function) : A function that returns an HTML string, DOM element(s), text node(s), or jQuery object to insert after each element in the set of matched elements. Receives the index position of the element in the set as an argument. Within the function, this refers to the current element in the set.\nfunction-html (Function) : A function that returns an HTML string, DOM element(s), text node(s), or jQuery object to insert after each element in the set of matched elements. Receives the index position of the element in the set and the old HTML value of the element as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/after/
.ajax	R	jQuery.ajax()										
.ajax()	R	jQuery.ajax()										
.ajaxComplete	R	.ajaxComplete()										
.ajaxComplete()	A			jQuery Ajax\njQuery Global Ajax Event Handlers							<section class="prog__container"><p>Register a handler to be called when Ajax requests complete. This is an AjaxEvent.</p><pre><code>$(selector).ajaxComplete(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : The function to be invoked.</code></pre></section>	https://api.jquery.com/ajaxComplete/
.ajaxError	R	.ajaxError()										
.ajaxError()	A			jQuery Ajax\njQuery Global Ajax Event Handlers							<section class="prog__container"><p>Register a handler to be called when Ajax requests complete with an error. This is an Ajax Event.</p><pre><code>$(selector).ajaxError(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : The function to be invoked.</code></pre></section>	https://api.jquery.com/ajaxError/
.ajaxPrefilter	R	jQuery.ajaxPrefilter()										
.ajaxPrefilter()	R	jQuery.ajaxPrefilter()										
.ajaxSend	R	.ajaxSend()										
.ajaxSend()	A			jQuery Ajax\njQuery Global Ajax Event Handlers							<section class="prog__container"><p>Attach a function to be executed before an Ajax request is sent. This is an Ajax Event.</p><pre><code>$(selector).ajaxSend(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : The function to be invoked.</code></pre></section>	https://api.jquery.com/ajaxSend/
.ajaxSetup	R	jQuery.ajaxSetup()										
.ajaxSetup()	R	jQuery.ajaxSetup()										
.ajaxStart	R	.ajaxStart()										
.ajaxStart()	A			jQuery Ajax\njQuery Global Ajax Event Handlers							<section class="prog__container"><p>Register a handler to be called when the first Ajax request begins. This is an Ajax Event.</p><pre><code>$(selector).ajaxStart(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : The function to be invoked.</code></pre></section>	https://api.jquery.com/ajaxStart/
.ajaxStop	R	.ajaxStop()										
.ajaxStop()	A			jQuery Ajax\njQuery Global Ajax Event Handlers							<section class="prog__container"><p>Register a handler to be called when all Ajax requests have completed. This is an Ajax Event.</p><pre><code>$(selector).ajaxStop(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : The function to be invoked.</code></pre></section>	https://api.jquery.com/ajaxStop/
.ajaxSuccess	R	.ajaxSuccess()										
.ajaxSuccess()	A			jQuery Ajax\njQuery Global Ajax Event Handlers							<section class="prog__container"><p>Attach a function to be executed whenever an Ajax request completes successfully. This is an Ajax Event.</p><pre><code>$(selector).ajaxSuccess(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : The function to be invoked.</code></pre></section>	https://api.jquery.com/ajaxSuccess/
.ajaxTransport	R	jQuery.ajaxTransport()										
.ajaxTransport()	R	jQuery.ajaxTransport()										
.always	R	deferred.always()										
.always()	R	deferred.always()										
.andSelf	R	.andSelf()										
.andSelf()	A			jQuery Traversing\njQuery Miscellaneous Traversal							<section class="prog__container"><p>Add the previous set of elements on the stack to the current set.</p><pre><code>$(selector).andSelf() → jQuery</code></pre></section>	https://api.jquery.com/andSelf/
.animate	R	.animate()										
.animate()	A			jQuery Effects\njQuery Custom Effects							<section class="prog__container"><p>Perform a custom animation of a set of CSS properties.</p><pre><code>$(selector).animate(properties,duration,easing,complete) → jQuery\n$(selector).animate(properties,options) → jQuery</code></pre><p>Arguments</p><pre><code>properties (PlainObject) : An object of CSS properties and values that the animation will move toward.</code></pre></section>	https://api.jquery.com/animate/
.append	R	.append()										
.append()	A			jQuery Manipulation\njQuery Dom Insertion Inside							<section class="prog__container"><p>Insert content, specified by the parameter, to the end of each element in the set of matched elements.</p><pre><code>$(selector).append(content,content) → jQuery\n$(selector).append(function) → jQuery</code></pre><p>Arguments</p><pre><code>content (htmlString| Element| Text| Array| jQuery) : DOM element, text node, array of elements and text nodes, HTML string, or jQuery object to insert at the end of each element in the set of matched elements.\ncontent (htmlString| Element| Text| Array| jQuery) : One or more additional DOM elements, text nodes, arrays of elements and text nodes, HTML strings, or jQuery objects to insert at the end of each element in the set of matched elements.\nfunction (Function) : A function that returns an HTML string, DOM element(s), text node(s), or jQuery object to insert at the end of each element in the set of matched elements. Receives the index position of the element in the set and the old HTML value of the element as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/append/
.appendTo	R	.appendTo()										
.appendTo()	A			jQuery Manipulation\njQuery Dom Insertion Inside							<section class="prog__container"><p>Insert every element in the set of matched elements to the end of the target.</p><pre><code>$(selector).appendTo(target) → jQuery</code></pre><p>Arguments</p><pre><code>target (Selector| htmlString| Element| Array| jQuery) : A selector, element, HTML string, array of elements, or jQuery object; the matched set of elements will be inserted at the end of the element(s) specified by this parameter.</code></pre></section>	https://api.jquery.com/appendTo/
.attr	R	.attr()										
.attr()	A			jQuery Attributes\njQuery Manipulation\njQuery General Attributes							<section class="prog__container"><p>Get the value of an attribute for the first element in the set of matched elements.</p><pre><code>$(selector).attr(attributeName) → String</code></pre><p>Arguments</p><pre><code>attributeName (String) : The name of the attribute to get.</code></pre>\n<p>Set one or more attributes for the set of matched elements.</p><pre><code>$(selector).attr(attributeName,value) → jQuery\n$(selector).attr(attributes) → jQuery\n$(selector).attr(attributeName,function) → jQuery</code></pre><p>Arguments</p><pre><code>attributeName (String) : The name of the attribute to set.\nvalue (String| Number| Null) : A value to set for the attribute. If null, the specified attribute will be removed (as in .removeAttr()).\nattributes (PlainObject) : An object of attribute-value pairs to set.\nfunction (Function) : A function returning the value to set. this is the current element. Receives the index position of the element in the set and the old attribute value as arguments.</code></pre></section>	https://api.jquery.com/attr/
.before	R	.before()										
.before()	A			jQuery Manipulation\njQuery Dom Insertion Outside							<section class="prog__container"><p>Insert content, specified by the parameter, before each element in the set of matched elements.</p><pre><code>$(selector).before(content,content) → jQuery\n$(selector).before(function) → jQuery\n$(selector).before(function-html) → jQuery</code></pre><p>Arguments</p><pre><code>content (htmlString| Element| Text| Array| jQuery) : HTML string, DOM element, text node, array of elements and text nodes, or jQuery object to insert before each element in the set of matched elements.\ncontent (htmlString| Element| Text| Array| jQuery) : One or more additional DOM elements, text nodes, arrays of elements and text nodes, HTML strings, or jQuery objects to insert before each element in the set of matched elements.\nfunction (Function) : A function that returns an HTML string, DOM element(s), text node(s), or jQuery object to insert before each element in the set of matched elements. Receives the index position of the element in the set as an argument. Within the function, this refers to the current element in the set.\nfunction-html (Function) : A function that returns an HTML string, DOM element(s), text node(s), or jQuery object to insert before each element in the set of matched elements. Receives the index position of the element in the set and the old HTML value of the element as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/before/
.bind	R	.bind()										
.bind event	R	.bind()										
.bind()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Attach a handler to an event for the elements.</p><pre><code>$(selector).bind(eventType,eventData,handler) → jQuery\n$(selector).bind(eventType,eventData,preventBubble) → jQuery\n$(selector).bind(events) → jQuery</code></pre><p>Arguments</p><pre><code>eventType (String) : A string containing one or more DOM event types, such as "click" or "submit," or custom event names.\neventData (Anything) : An object containing data that will be passed to the event handler.\nhandler (Function) : A function to execute each time the event is triggered.\npreventBubble (Boolean) : Setting the third argument to false will attach a function that prevents the default action from occurring and stops the event from bubbling. The default is true.\nevents (Object) : An object containing one or more DOM event types and functions to execute for them.</code></pre></section>	https://api.jquery.com/bind/
.bind() event	R	.bind()										
.blur	R	.blur()										
.blur event	R	.blur()										
.blur()	A			jQuery Events\njQuery Form Events\njQuery Forms							<section class="prog__container"><p>Bind an event handler to the "blur" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).blur(handler) → jQuery\n$(selector).blur(eventData,handler) → jQuery\n$(selector).blur() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/blur/
.blur() event	R	.blur()										
.boxModel	R	jQuery.boxModel										
.browser	R	jQuery.browser										
.catch	R	deferred.catch()										
.catch()	R	deferred.catch()										
.change	R	.change()										
.change event	R	.change()										
.change()	A			jQuery Events\njQuery Form Events\njQuery Forms							<section class="prog__container"><p>Bind an event handler to the "change" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).change(handler) → jQuery\n$(selector).change(eventData,handler) → jQuery\n$(selector).change() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/change/
.change() event	R	.change()										
.children	R	.children()										
.children()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the children of each element in the set of matched elements, optionally filtered by a selector.</p><pre><code>$(selector).children(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/children/
.clearQueue	R	.clearQueue()										
.clearQueue()	A			jQuery Effects\njQuery Custom Effects\njQuery Data\njQuery Utilities							<section class="prog__container"><p>Remove from the queue all items that have not yet been run.</p><pre><code>$(selector).clearQueue(queueName) → jQuery</code></pre><p>Arguments</p><pre><code>queueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.</code></pre></section>	https://api.jquery.com/clearQueue/
.click	R	.click()										
.click event	R	.click()										
.click()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "click" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).click(handler) → jQuery\n$(selector).click(eventData,handler) → jQuery\n$(selector).click() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/click/
.click() event	R	.click()										
.clone	R	.clone()										
.clone()	A			jQuery Manipulation\njQuery Copying							<section class="prog__container"><p>Create a deep copy of the set of matched elements.</p><pre><code>$(selector).clone(withDataAndEvents) → jQuery\n$(selector).clone(withDataAndEvents,deepWithDataAndEvents) → jQuery</code></pre><p>Arguments</p><pre><code>withDataAndEvents (Boolean) : A Boolean indicating whether event handlers should be copied along with the elements. As of jQuery 1.4, element data will be copied as well.\nwithDataAndEvents (Boolean) : A Boolean indicating whether event handlers and data should be copied along with the elements. The default value is false. *In jQuery 1.5.0 the default value was incorrectly true; it was changed back to false in 1.5.1 and up.\ndeepWithDataAndEvents (Boolean) : A Boolean indicating whether event handlers and data for all children of the cloned element should be copied. By default its value matches the first argument's value (which defaults to false).</code></pre></section>	https://api.jquery.com/clone/
.closest	R	.closest()										
.closest()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>For each element in the set, get the first element that matches the selector by testing the element itself and traversing up through its ancestors in the DOM tree.</p><pre><code>$(selector).closest(selector) → jQuery\n$(selector).closest(selector,context) → jQuery\n$(selector).closest(selection) → jQuery\n$(selector).closest(element) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.\ncontext (Element) : A DOM element within which a matching element may be found.\nselection (jQuery) : A jQuery object to match elements against.\nelement (Element) : An element to match elements against.</code></pre>\n<p>Get an array of all the elements and selectors matched against the current element up through the DOM tree.</p><pre><code>$(selector).closest(selectors,context) → Array</code></pre><p>Arguments</p><pre><code>selectors (Array) : An array or string containing a selector expression to match elements against (can also be a jQuery object).\ncontext (Element) : A DOM element within which a matching element may be found.</code></pre></section>	https://api.jquery.com/closest/
.contains	R	jQuery.contains()										
.contains()	R	jQuery.contains()										
.contents	R	.contents()										
.contents()	A			jQuery Traversing\njQuery Miscellaneous Traversal							<section class="prog__container"><p>Get the children of each element in the set of matched elements, including text and comment nodes.</p><pre><code>$(selector).contents() → jQuery</code></pre></section>	https://api.jquery.com/contents/
.context	A			jQuery Internals\njQuery Properties\nJquery Object Instance Properties							<section class="prog__container"><p>The DOM node context originally passed to jQuery(); if none was passed then context will likely be the document.</p><pre><code>$(selector).context() → Element</code></pre></section>	https://api.jquery.com/context/
.contextmenu	R	.contextmenu()										
.contextmenu event	R	.contextmenu()										
.contextmenu()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "contextmenu" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).contextmenu(handler) → jQuery\n$(selector).contextmenu(eventData,handler) → jQuery\n$(selector).contextmenu() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/contextmenu/
.contextmenu() event	R	.contextmenu()										
.css	R	.css()										
.css()	A			jQuery Css\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the computed style properties for the first element in the set of matched elements.</p><pre><code>$(selector).css(propertyName) → String\n$(selector).css(propertyNames) → String</code></pre><p>Arguments</p><pre><code>propertyName (String) : A CSS property.\npropertyNames (Array) : An array of one or more CSS properties.</code></pre>\n<p>Set one or more CSS properties for the set of matched elements.</p><pre><code>$(selector).css(propertyName,value) → jQuery\n$(selector).css(propertyName,function) → jQuery\n$(selector).css(properties) → jQuery</code></pre><p>Arguments</p><pre><code>propertyName (String) : A CSS property name.\nvalue (String| Number) : A value to set for the property.\nfunction (Function) : A function returning the value to set. this is the current element. Receives the index position of the element in the set and the old value as arguments.\nproperties (PlainObject) : An object of property-value pairs to set.</code></pre></section>	https://api.jquery.com/css/
.cssHooks	R	jQuery.cssHooks										
.cssNumber	R	jQuery.cssNumber										
.currentTarget	R	event.currentTarget										
.data	R	.data()										
.data()	A			jQuery Data\njQuery Miscellaneous\njQuery Data Storage							<section class="prog__container"><p>Store arbitrary data associated with the matched elements.</p><pre><code>$(selector).data(key,value) → jQuery\n$(selector).data(obj) → jQuery</code></pre><p>Arguments</p><pre><code>key (String) : A string naming the piece of data to set.\nvalue (Anything) : The new data value; this can be any Javascript type except undefined.\nobj (Object) : An object of key-value pairs of data to update.</code></pre>\n<p>Return the value at the named data store for the first element in the jQuery collection, as set by data(name, value) or by an HTML5 data-* attribute.</p><pre><code>$(selector).data(key) → Object\n$(selector).data() → Object</code></pre><p>Arguments</p><pre><code>key (String) : Name of the data stored.</code></pre></section>	https://api.jquery.com/data/
.dblclick	R	.dblclick()										
.dblclick event	R	.dblclick()										
.dblclick()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "dblclick" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).dblclick(handler) → jQuery\n$(selector).dblclick(eventData,handler) → jQuery\n$(selector).dblclick() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/dblclick/
.dblclick() event	R	.dblclick()										
.delay	R	.delay()										
.delay()	A			jQuery Effects\njQuery Custom Effects							<section class="prog__container"><p>Set a timer to delay execution of subsequent items in the queue.</p><pre><code>$(selector).delay(duration,queueName) → jQuery</code></pre><p>Arguments</p><pre><code>duration (Integer) : An integer indicating the number of milliseconds to delay execution of the next item in the queue.\nqueueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.</code></pre></section>	https://api.jquery.com/delay/
.delegate	R	.delegate()										
.delegate event	R	.delegate()										
.delegate()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Attach a handler to one or more events for all elements that match the selector, now or in the future, based on a specific set of root elements.</p><pre><code>$(selector).delegate(selector,eventType,handler) → jQuery\n$(selector).delegate(selector,eventType,eventData,handler) → jQuery\n$(selector).delegate(selector,events) → jQuery</code></pre><p>Arguments</p><pre><code>selector (String) : A selector to filter the elements that trigger the event.\neventType (String) : A string containing one or more space-separated JavaScript event types, such as "click" or "keydown," or custom event names.\nhandler (Function) : A function to execute at the time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.\nevents (PlainObject) : A plain object of one or more event types and functions to execute for them.</code></pre></section>	https://api.jquery.com/delegate/
.delegate() event	R	.delegate()										
.delegateTarget	R	event.delegateTarget										
.dequeue	R	.dequeue()										
.dequeue()	A			jQuery Effects\njQuery Custom Effects\njQuery Data\njQuery Utilities							<section class="prog__container"><p>Execute the next function on the queue for the matched elements.</p><pre><code>$(selector).dequeue(queueName) → jQuery</code></pre><p>Arguments</p><pre><code>queueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.</code></pre></section>	https://api.jquery.com/dequeue/
.detach	R	.detach()										
.detach()	A			jQuery Manipulation\njQuery Dom Removal							<section class="prog__container"><p>Remove the set of matched elements from the DOM.</p><pre><code>$(selector).detach(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A selector expression that filters the set of matched elements to be removed.</code></pre></section>	https://api.jquery.com/detach/
.die	R	.die()										
.die event	R	.die()										
.die()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Remove event handlers previously attached using .live() from the elements.</p><pre><code>$(selector).die() → jQuery\n$(selector).die(eventType,handler) → jQuery\n$(selector).die(events) → jQuery</code></pre><p>Arguments</p><pre><code>eventType (String) : A string containing a JavaScript event type, such as click or keydown.\nhandler (String) : The function that is no longer to be executed.\nevents (PlainObject) : A plain object of one or more event types, such as click or keydown and their corresponding functions that are no longer to be executed.</code></pre></section>	https://api.jquery.com/die/
.die() event	R	.die()										
.disable	R	callbacks.disable()										
.disable()	R	callbacks.disable()										
.disabled	R	callbacks.disabled()										
.disabled()	R	callbacks.disabled()										
.done	R	deferred.done()										
.done()	R	deferred.done()										
.each	R	.each()										
.each()	A			jQuery Miscellaneous\njQuery Collection Manipulation\njQuery Traversing							<section class="prog__container"><p>Iterate over a jQuery object, executing a function for each matched element. </p><pre><code>$(selector).each(function) → jQuery</code></pre><p>Arguments</p><pre><code>function (Function) : A function to execute for each matched element.</code></pre></section>	https://api.jquery.com/each/
.empty	R	.empty()										
.empty()	A			jQuery Manipulation\njQuery Dom Removal							<section class="prog__container"><p>Remove all child nodes of the set of matched elements from the DOM.</p><pre><code>$(selector).empty() → jQuery</code></pre></section>	https://api.jquery.com/empty/
.end	R	.end()										
.end()	A			jQuery Traversing\njQuery Miscellaneous Traversal							<section class="prog__container"><p>End the most recent filtering operation in the current chain and return the set of matched elements to its previous state.</p><pre><code>$(selector).end() → jQuery</code></pre></section>	https://api.jquery.com/end/
.eq	R	.eq()										
.eq()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Reduce the set of matched elements to the one at the specified index.</p><pre><code>$(selector).eq(index) → jQuery\n$(selector).eq(indexFromEnd) → jQuery</code></pre><p>Arguments</p><pre><code>index (Integer) : An integer indicating the 0-based position of the element.\nindexFromEnd (Integer) : An integer indicating the position of the element, counting backwards from the last element in the set.</code></pre></section>	https://api.jquery.com/eq/
.error	R	.error()										
.error event	R	.error()										
.error()	A			jQuery Events\njQuery Browser Events							<section class="prog__container"><p>Bind an event handler to the "error" JavaScript event.</p><pre><code>$(selector).error(handler) → jQuery\n$(selector).error(eventData,handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute when the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.\nhandler (Function) : A function to execute each time the event is triggered.</code></pre></section>	https://api.jquery.com/error/
.error() event	R	.error()										
.escapeSelector	R	jQuery.escapeSelector()										
.escapeSelector()	R	jQuery.escapeSelector()										
.extend	R	jQuery.extend()										
.extend()	R	jQuery.extend()										
.fadeIn	R	.fadeIn()										
.fadeIn()	A			jQuery Effects\njQuery Fading							<section class="prog__container"><p>Display the matched elements by fading them to opaque.</p><pre><code>$(selector).fadeIn(duration,complete) → jQuery\n$(selector).fadeIn(options) → jQuery\n$(selector).fadeIn(duration,easing,complete) → jQuery</code></pre></section>	https://api.jquery.com/fadeIn/
.fadeOut	R	.fadeOut()										
.fadeOut()	A			jQuery Effects\njQuery Fading							<section class="prog__container"><p>Hide the matched elements by fading them to transparent.</p><pre><code>$(selector).fadeOut(duration,complete) → jQuery\n$(selector).fadeOut(options) → jQuery\n$(selector).fadeOut(duration,easing,complete) → jQuery</code></pre></section>	https://api.jquery.com/fadeOut/
.fadeTo	R	.fadeTo()										
