add example,.add()
slide down example,.slideDown()
slide toggle example,.slideToggle()
slide up example,.slideUp()
stop example,.stop()
submit example,.submit()
text example,.text()
to array example,.toArray()
toggle example,.toggle()
toggle class example,.toggleClass()
trigger example,.trigger()
trigger handler example,.triggerHandler()
unbind example,.unbind()
undelegate example,.undelegate()
unload example,.unload()
unwrap example,.unwrap()
val example,.val()
width example,.width()
wrap example,.wrap()
wrap all example,.wrapAll()
wrap inner example,.wrapInner()
animated selector example,:animated Selector
button selector example,:button Selector
checkbox selector example,:checkbox Selector
checked selector example,:checked Selector
contains selector example,:contains() Selector
disabled selector example,:disabled Selector
empty selector example,:empty Selector
enabled selector example,:enabled Selector
eq selector example,:eq() Selector
even selector example,:even Selector
file selector example,:file Selector
first selector example,:first Selector
first child selector example,:first-child Selector
first of type selector example,:first-of-type Selector
focus selector example,:focus Selector
gt selector example,:gt() Selector
has selector example,:has() Selector
header selector example,:header Selector
hidden selector example,:hidden Selector
image selector example,:image Selector
input selector example,:input Selector
lang selector example,:lang() Selector
last selector example,:last Selector
last child selector example,:last-child Selector
last of type selector example,:last-of-type Selector
lt selector example,:lt() Selector
not selector example,:not() Selector
nth child selector example,:nth-child() Selector
nth last child selector example,:nth-last-child() Selector
nth last of type selector example,:nth-last-of-type() Selector
nth of type selector example,:nth-of-type() Selector
odd selector example,:odd Selector
only child selector example,:only-child Selector
only of type selector example,:only-of-type Selector
parent selector example,:parent Selector
password selector example,:password Selector
radio selector example,:radio Selector
reset selector example,:reset Selector
root selector example,:root Selector
selected selector example,:selected Selector
submit selector example,:submit Selector
target selector example,:target Selector
text selector example,:text Selector
visible selector example,:visible Selector
all selector example,All Selector
attribute contains prefix selector example,Attribute Contains Prefix Selector
attribute contains selector example,Attribute Contains Selector
attribute contains word selector example,Attribute Contains Word Selector
attribute ends with selector example,Attribute Ends With Selector
attribute equals selector example,Attribute Equals Selector
attribute not equal selector example,Attribute Not Equal Selector
attribute starts with selector example,Attribute Starts With Selector
child selector example,Child Selector
class selector example,Class Selector
descendant selector example,Descendant Selector
element selector example,Element Selector
has attribute selector example,Has Attribute Selector
id selector example,ID Selector
multiple attribute selector example,Multiple Attribute Selector
multiple selector example,Multiple Selector
next adjacent selector example,Next Adjacent Selector
next siblings selector example,Next Siblings Selector
callbacks add example,callbacks.add()
callbacks disable example,callbacks.disable()
callbacks disabled example,callbacks.disabled()
callbacks empty example,callbacks.empty()
callbacks fire example,callbacks.fire()
callbacks fire with example,callbacks.fireWith()
callbacks fired example,callbacks.fired()
callbacks has example,callbacks.has()
callbacks lock example,callbacks.lock()
callbacks locked example,callbacks.locked()
callbacks remove example,callbacks.remove()
deferred always example,deferred.always()
deferred catch example,deferred.catch()
deferred done example,deferred.done()
deferred fail example,deferred.fail()
deferred is rejected example,deferred.isRejected()
deferred is resolved example,deferred.isResolved()
deferred notify example,deferred.notify()
deferred notify with example,deferred.notifyWith()
deferred pipe example,deferred.pipe()
deferred progress example,deferred.progress()
deferred promise example,deferred.promise()
deferred reject example,deferred.reject()
deferred reject with example,deferred.rejectWith()
deferred resolve example,deferred.resolve()
deferred resolve with example,deferred.resolveWith()
deferred state example,deferred.state()
deferred then example,deferred.then()
event current target example,event.currentTarget
event data example,event.data
event delegate target example,event.delegateTarget
event is default prevented example,event.isDefaultPrevented()
event is immediate propagation stopped example,event.isImmediatePropagationStopped()
event is propagation stopped example,event.isPropagationStopped()
event meta key example,event.metaKey
event namespace example,event.namespace
event page x example,event.pageX
event page y example,event.pageY
event prevent default example,event.preventDefault()
event related target example,event.relatedTarget
event result example,event.result
event stop immediate propagation example,event.stopImmediatePropagation()
event stop propagation example,event.stopPropagation()
event target example,event.target
event time stamp example,event.timeStamp
event type example,event.type
event which example,event.which
callbacks example,jQuery.Callbacks()
deferred example,jQuery.Deferred()
ajax example,jQuery.ajax()
ajax prefilter example,jQuery.ajaxPrefilter()
ajax setup example,jQuery.ajaxSetup()
ajax transport example,jQuery.ajaxTransport()
box model example,jQuery.boxModel
browser example,jQuery.browser
contains example,jQuery.contains()
css hooks example,jQuery.cssHooks
css number example,jQuery.cssNumber
data example,jQuery.data()
dequeue example,jQuery.dequeue()
each example,jQuery.each()
error example,jQuery.error()
escape selector example,jQuery.escapeSelector()
extend example,jQuery.extend()
fn extend example,jQuery.fn.extend()
fx interval example,jQuery.fx.interval
fx off example,jQuery.fx.off
get example,jQuery.get()
get json example,jQuery.getJSON()
get script example,jQuery.getScript()
global eval example,jQuery.globalEval()
grep example,jQuery.grep()
has data example,jQuery.hasData()
hold ready example,jQuery.holdReady()
html prefilter example,jQuery.htmlPrefilter()
in array example,jQuery.inArray()
is array example,jQuery.isArray()
is empty object example,jQuery.isEmptyObject()
is function example,jQuery.isFunction()
is numeric example,jQuery.isNumeric()
is plain object example,jQuery.isPlainObject()
is window example,jQuery.isWindow()
is xmldoc example,jQuery.isXMLDoc()
make array example,jQuery.makeArray()
map example,jQuery.map()
merge example,jQuery.merge()
no conflict example,jQuery.noConflict()
noop example,jQuery.noop()
now example,jQuery.now()
param example,jQuery.param()
parse html example,jQuery.parseHTML()
parse json example,jQuery.parseJSON()
parse xml example,jQuery.parseXML()
post example,jQuery.post()
proxy example,jQuery.proxy()
queue example,jQuery.queue()
ready exception example,jQuery.readyException()
remove data example,jQuery.removeData()
speed example,jQuery.speed
sub example,jQuery.sub()
support example,jQuery.support
trim example,jQuery.trim()
type example,jQuery.type()
unique example,jQuery.unique()
unique sort example,jQuery.uniqueSort()
when example,jQuery.when()
